КОМБИНАТ ПИТАНИЯ МГТУ им. Н.Э.БАУМАНА,,
ПРОИЗВОДСТВО №8,,12.03.2019
Выход,Наименование блюда,Цена
ЭКОНОМ ОБЕД,,
120 г,"Капуста б/к с овощами, растительным маслом",35.00
25/250 г,Суп гороховый с картофелем и копченостями,50.00
115/50 г,"Тефтели мясные, рубленные в красном соусе",95.00
150 г,Макароны отварные с маслом,15.00
200 мл/16 г,Чай с сахаром,15.00
ДИЕТИЧЕСКИЕ БЛЮДА,,
250 г,Каша молочная манная с маслом,40.00
150/20 г,"Пудинг творожный с черносливом, сгущенным молоком",60.00
150/20 г,"Пудинг творожный с черносливом, сметаной",60.00
ХОЛОДНЫЕ ЗАКУСКИ,,
120 г,"Капуста б/к с овощами, растительным маслом",35.00
100 г,Овощи свежие с растительным маслом,40.00
100 г,"Салат ""Анжелика"" (ветчина, салат ""Китайский"", лук, яйцо, майонез)",55.00
100 г,"Салат ""Столичный"" (с курицей)",50.00
100 г,"Салат из редиса со свежим огурцом, яйцом, майонезом",40.00
100/20 г,Салат фруктовый с взбитыми сливками,50.00
100,"Свекла с черносливом, грецким орехом, чесноком, майонезом",45.00
ПЕРВЫЕ БЛЮДА,,
25/250 г,Суп гороховый с картофелем и копченостями,50.00
250/10 г,"Суп картофельный с грибами, вермишелью и сметаной",50.00
ВТОРЫЕ БЛЮДА,,
100 г,Жульен на сливках,90.00
75 г,Говядина отварная,120.00
150/20 г,Оладьи из печени со сметаной,100.00
120 г,Куры жареные,95.00
75/50 г,Поджарка из филе кур в сливочном соусе,105.00
80/40 г,"Рыба, запеченная с помидором, сыром, майонезом",160.00
75/60 г,"Свинина, запеченная ""по-барски""",140.00
115/50 г,"Тефтели мясные, рубленные в красном соусе",95.00
ГАРНИРЫ,,
150 г,"Кабачки, тушенные с овощами",60.00
150 г,Картофельное пюре,35.00
150 г,Каша гречневая,20.00
150 г,Макароны отварные с маслом,15.00
СОУСЫ / ХЛЕБ,,
10 г,Горчица,5.00
50 г,"Кетчуп ""Хайнц""",20.00
50 г,Соус сливочный,15.00
50 г,"Соус ""Тар-тар""",20.00
50 г,Соус красный с кореньями,5.00
40 г,Хлеб пшеничный,3.00
40 г,Хлеб ржаной,2.00
10 г,Хрен столовый,5.00
НАПИТКИ,,
200 мл,Горячий шоколад,30.00
200 мл,Компот вишнёвый,30.00
200 мл,Компот из чернослива,30.00
200 мл,Кофе 3 в 1,25.00
200 мл,Кофе б/р без сахара,25.00
200 мл/16 г,Кофе б/р с сахаром,25.00
200 мл,Сок в ассортименте,35.00
200 мл,Чай без сахара,15.00
200 мл/16 г,Чай с сахаром,15.00
200 мл/16/7 г,Чай с сахаром и лимоном,15.00
Готовые блюда не содержат ГМО.,,
