КОМБИНАТ ПИТАНИЯ МГТУ им. Н.Э.БАУМАНА,,
ПРОИЗВОДСТВО №8,,11.03.2019
Выход,Наименование блюда,Цена
ЭКОНОМ ОБЕД,,
100 г,"Морковь с сахаром, яблоком, курагой, р/м",25.00
35/250/10,"Рассольник ""Ленинградский"" с курицей, сметаной",50.00
100 г,"Котлета куриная, рубленная",75.00
150 г,"Рис, припущенный в бульоне",20.00
200 мл/16 г,Чай с сахаром,15.00
ДИЕТИЧЕСКИЕ БЛЮДА,,
250 г,Каша молочная рисовая с маслом,40.00
150/20 г,"Пудинг творожный с изюмом, сгущенным молоком",60.00
150/20 г,"Пудинг творожный с изюмом, сметаной",60.00
ХОЛОДНЫЕ ЗАКУСКИ,,
100 г,Грейпфрут с взбитыми сливками,50.00
100 г,"Морковь с сахаром, яблоком, курагой, р/м",25.00
100 г,"Редис ""Дайкон"" с морковью, сыром и майонезом",50.00
100 г,"Салат ""Золотая рыбка"" (крабовое мясо, кукуруза, капуста)",30.00
100 г,"Салат ""Рыбный"" (с рисом)",60.00
100 г,"Салат из квашеной капусты с клюквой, р/м",35.00
70/50 г,Сельдь с гарниром,80.00
ПЕРВЫЕ БЛЮДА,,
35/250/10,"Рассольник ""Ленинградский"" с курицей, сметаной",50.00
250 г,Суп-пюре из брокколи,60.00
ВТОРЫЕ БЛЮДА,,
100 г,Жульен на сливках,90.00
100 г,Биточек рыбный,100.00
100 г,"Котлета куриная, рубленная",75.00
120 г,Куры жареные,95.00
250 г,Плов из индейки,110.00
100/10 г,Рыба отварная с лимоном,170.00
75/50 г,Поджарка из свинины,100.00
80/40 г,"Свинина, запеченная с грибами, луком, сыром, майонезом",145.00
ГАРНИРЫ,,
150 г,Картофельное пюре,35.00
150 г,Каша гречневая,20.00
150 г,"Рис, припущенный в бульоне",20.00
150 г,"Фасоль стручковая, тушенная с овощами",50.00
СОУСЫ / ХЛЕБ,,
10 г,Горчица,5.00
50 г,"Кетчуп ""Хайнц""",20.00
50 г,Подлива мясная (Поджарка),5.00
50 г,"Соус ""Тар-тар""",20.00
35 г,Хлеб пшеничный,3.00
35 г,Хлеб ржаной,2.00
10 г,Хрен столовый,5.00
НАПИТКИ,,
200 мл,Горячий шоколад,30.00
200 мл,Компот из кураги,30.00
200 мл,Напиток фруктовый,20.00
200 мл,Кофе 3 в 1,25.00
200 мл,Кофе б/р без сахара,25.00
200 мл/16 г,Кофе б/р с сахаром,25.00
7 г.,Лимон,5.00
200 мл,Сок в ассортименте,35.00
200 мл,Чай без сахара,15.00
200 мл/16 г,Чай с сахаром,15.00
200 мл/16/7 г,Чай с сахаром и лимоном,15.00
Готовые блюда не содержат ГМО.,,
