КОМБИНАТ ПИТАНИЯ МГТУ им. Н.Э.БАУМАНА,,
ПРОИЗВОДСТВО №8,,15.03.2019
Выход,Наименование блюда,Цена
ЭКОНОМ ОБЕД,,
150 г,Морковь по-корейски,25.00
250 г,Суп-пюре из шампиньонов,60.00
250 г,"Капуста, тушенная с сосисками",70.00
200 мл/16 г,Чай с сахаром,15.00
ДИЕТИЧЕСКИЕ БЛЮДА,,
250 г,Каша молочная геркулесовая с маслом,40.00
150/20 г,"Пудинг творожный с курагой, сгущенным молоком",60.00
150/20 г,"Пудинг творожный с курагой, сметаной",60.00
ХОЛОДНЫЕ ЗАКУСКИ,,
80/20 г,Апельсин с клюквенным соусом,40.00
150 г,Морковь по-корейски,25.00
100 г,"Салат ""Витаминный"" (овощи, фрукты)",30.00
100 г,"Салат ""Лобио""",45.00
100 г,"Салат ""Мозаика"" (краб. мясо, яйцо, огурец, горошек, кукуруза)",40.00
100 г,"Салат ""Оливье""",50.00
100 г,"Сельдь ""под шубой""",60.00
ПЕРВЫЕ БЛЮДА,,
40/250/10/3/1 г,"Солянка мясная сборная со сметаной, лимоном, маслиной",80.00
250 г,Суп-пюре из шампиньонов,60.00
ВТОРЫЕ БЛЮДА,,
100 г,Жульен на сливках,90.00
250 г,"Капуста, тушенная с сосисками",70.00
100 г,"Котлета ""Московская""",85.00
100 г,"Котлета рыбная ""Нежная""",115.00
120 г,Куры жареные,95.00
75/50 г,Поджарка из филе кур,105.00
100/10 г,Рыба отварная с лимоном,170.00
80/40 г,"Свинина, запеченная с помидором, сыром, майонезом",140.00
ГАРНИРЫ,,
150 г,Картофельное пюре,35.00
150 г,Каша гречневая,20.00
150 г,"Рис, припущенный в бульоне",20.00
150 г,Соте овощное,65.00
СОУСЫ / ХЛЕБ,,
10 г,Горчица,5.00
50 г,"Кетчуп ""Хайнц""",20.00
50 г,Подлива мясная (Поджарка),5.00
50 г,"Соус ""Тар-тар""",20.00
50 г,Соус томатный острый,15.00
35 г,Хлеб пшеничный,3.00
35 г,Хлеб ржаной,2.00
10 г,Хрен столовый,5.00
НАПИТКИ,,
200 мл,Горячий шоколад,30.00
200 мл,Компот вишнёвый,30.00
200 мл,Компот из кураги,30.00
200 мл,Кофе 3 в 1,25.00
200 мл,Кофе б/р без сахара,25.00
200 мл/16 г,Кофе б/р с сахаром,25.00
200 мл,Сок в ассортименте,35.00
200 мл,Чай без сахара,15.00
200 мл/7 г,Чай с лимоном,15.00
200 мл/16 г,Чай с сахаром,15.00
200 мл/16/7 г,Чай с сахаром и лимоном,15.00
Готовые блюда не содержат ГМО.,,
