КОМБИНАТ ПИТАНИЯ МГТУ им. Н.Э.БАУМАНА,,
ПРОИЗВОДСТВО №8,,13.03.2019
Выход,Наименование блюда,Цена
ЭКОНОМ ОБЕД,,
100 г,Винегрет овощной,30.00
35/250/10 г,Суп овощной с курицей и сметаной,55.00
100 г,Шницель рубленный по-африкански,90.00
150 г,Каша гречневая,20.00
330 мл,Чай с сахаром,13.50
ДИЕТИЧЕСКИЕ БЛЮДА,,
250 г,Каша молочная пшенная с маслом,40.00
150/20 г,"Пудинг творожный с курагой, сгущенным молоком",60.00
150/20 г,"Пудинг творожный с курагой, сметаной",60.00
ХОЛОДНЫЕ ЗАКУСКИ,,
100 г,Винегрет овощной,30.00
100 г,Киви с взбитыми сливками,60.00
100 г,"Салат ""Городнецкий"" (курица, салат, огурец, кукуруза)",55.00
100 г,"Салат ""Домашний"" (с ветчиной)",45.00
100 г,"Салат ""Осенний""",60.00
100 г,"Салат из морской капусты с овощами, растительным маслом",45.00
100 г,"Салат из свежей капусты  со свежим огурцом, укропом, р/м",30.00
ПЕРВЫЕ БЛЮДА,,
35/250/10 г,Суп овощной с курицей и сметаной,55.00
35/250 г,Суп-харчо с говядиной,65.00
ВТОРЫЕ БЛЮДА,,
100 г,Жульен на сливках,90.00
75/50 г,Гуляш из говядины,125.00
150 г,"Картофель, жаренный с грибами, луком",85.00
100 г,"Котлета рыбная ""Краснодарская""",100.00
120 г,Куры жареные,95.00
100/50 г,"Филе кур, запеченное с помидором, сыром, майонезом",140.00
100/10 г,Рыба отварная с лимоном,170.00
100 г,Шницель рубленный по-африкански,90.00
ГАРНИРЫ,,
150 г,"Баклажаны, тушенные с овощами",70.00
150 г,Картофельное пюре,35.00
150 г,Каша гречневая,20.00
150 г,"Рис, припущенный в бульоне",20.00
СОУСЫ / ХЛЕБ,,
10 г,Горчица,5.00
50 г,"Кетчуп ""Хайнц""",20.00
50 г,Подлива мясная (Гуляш),5.00
50 г,"Соус ""Тар-тар""",20.00
35 г,Хлеб пшеничный,3.00
35 г,Хлеб ржаной,2.00
10 г,Хрен столовый,5.00
НАПИТКИ,,
200 мл,Горячий шоколад,30.00
200 мл,Компот из кураги,30.00
200 мл,Напиток клюквенный,30.00
200 мл,Кофе 3 в 1,25.00
200 мл,Кофе б/р без сахара,25.00
200 мл/16 г,Кофе б/р с сахаром,25.00
200 мл,Сок в ассортименте,35.00
200 мл,Чай без сахара,15.00
200 мл/7 г,Чай с лимоном,15.00
200 мл/16 г,Чай с сахаром,15.00
200 мл/16/7 г,Чай с сахаром и лимоном,15.00
Готовые блюда не содержат ГМО.,,
