КОМБИНАТ ПИТАНИЯ МГТУ им. Н.Э.БАУМАНА,,
ПРОИЗВОДСТВО №8,,16.03.2019
Выход,Наименование блюда,Цена
ЭКОНОМ ОБЕД,,
100 г,"Салат из квашеной капусты с репчатым луком, р/м",35.00
35/250/10 г,"Суп рисовый по-румынски с курицей, сметаной",50.00
100 г,"Котлета ""по-деревенски""",90.00
150 г,"Рис, припущенный в бульоне",20.00
200 мл/16 г,Чай с сахаром,15.00
ДИЕТИЧЕСКИЕ БЛЮДА,,
250 г,Каша молочная рисовая с маслом,40.00
150/20 г,"Пудинг творожный с шоколадом, сгущенным молоком",60.00
150/20 г,"Пудинг творожный с шоколадом, сметаной",60.00
ХОЛОДНЫЕ ЗАКУСКИ,,
80/20 г,Апельсин с клюквенным соусом,40.00
50/20 г,"Помидоры с брынзой, зеленью",40.00
100 г,"Салат ""Берлинский"" (ветчина, сыр, огурец, кукуруза)",55.00
100 г,"Салат ""Домашний"" (с ветчиной)",45.00
100 г,"Салат ""Крабовый"" (с рисом)",40.00
100 г,"Салат из квашеной капусты с репчатым луком, р/м",35.00
100 г,"Салат ""Китайский"" с овощами, р/м",40.00
100,"Свекла с черносливом, грецким орехом, чесноком, майонезом",45.00
ПЕРВЫЕ БЛЮДА,,
35/250/10 г,"Суп рисовый по-румынски с курицей, сметаной",50.00
35/250/10 г,"Щи из свежей капусты с курицей, сметаной",50.00
ВТОРЫЕ БЛЮДА,,
100 г,Жульен на сливках,90.00
75/50 г,Гуляш из говядины,125.00
150 г,"Картофель, жаренный с колбасой с/к",80.00
150 г,"Картофель, жаренный с грибами, луком",85.00
100 г,"Котлета ""по-деревенски""",90.00
100 г,Котлета рыбная,105.00
120 г,Куры жареные,95.00
80/40 г,"Свинина, запеченная с помидором, сыром, майонезом",140.00
100 г,Эскалоп,150.00
ГАРНИРЫ,,
150 г,Картофельное пюре,35.00
150 г,Каша гречневая,20.00
150 г,"Рис, припущенный в бульоне",20.00
150 г,"Фасоль, тушенная с овощами",45.00
СОУСЫ / ХЛЕБ,,
10 г,Горчица,5.00
50 г,"Кетчуп ""Хайнц""",20.00
50 г,Подлива мясная (Гуляш),5.00
50 г,"Соус ""Тар-тар""",20.00
35 г,Хлеб пшеничный,3.00
35 г,Хлеб ржаной,2.00
10 г,Хрен столовый,5.00
НАПИТКИ,,
200 мл,Горячий шоколад,30.00
200 мл,Кофе 3 в 1,25.00
200 мл,Кофе б/р без сахара,25.00
200 мл/16 г,Кофе б/р с сахаром,25.00
7 г.,Лимон,5.00
200 мл,Напиток клюквенный,30.00
200 мл,Сок в ассортименте,35.00
200 мл,Чай без сахара,15.00
200 мл/7 г,Чай с лимоном,15.00
200 мл/16 г,Чай с сахаром,15.00
200 мл/16/7 г,Чай с сахаром и лимоном,15.00
Готовые блюда не содержат ГМО.,,
