КОМБИНАТ ПИТАНИЯ МГТУ им. Н.Э.БАУМАНА,,
ПРОИЗВОДСТВО №8,,14.03.2019
Выход,Наименование блюда,Цена
ЭКОНОМ ОБЕД,,
100 г,"Морковь с сахаром, яблоком, изюмом, р/м",25.00
250/35/10 г,Борщ из квашеной капусты с курицей и сметаной,50.00
100 г,"Котлета ""Домашняя""",85.00
150 г,Макароны отварные с маслом,15.00
200 мл/16 г,Чай с сахаром,15.00
ДИЕТИЧЕСКИЕ БЛЮДА,,
250 г,"Каша молочная ""Дружба"" с маслом",40.00
150/20 г,"Пудинг творожный с шоколадом, сгущенным молоком",60.00
150/20 г,"Пудинг творожный с шоколадом, сметаной",60.00
ХОЛОДНЫЕ ЗАКУСКИ,,
100 г,"Морковь с сахаром, яблоком, изюмом, р/м",25.00
100 г,"Салат ""Мясной""",50.00
130 г,"Салат ""Пикантный"" (крабовое мясо, сыр, овощи, яйцо)",60.00
150/20 г,Студень говяжий с хреном,100.00
100,"Салат ""Сезон"" (карбонат, огурец, зеленая фасоль, аджика)",60.00
100 г,"Свекла с соленым огурцом, сыром, майонезом",40.00
140/20/20 г,"Яблоко, запеченное с сахаром, корицей, клюквенным соусом",50.00
ПЕРВЫЕ БЛЮДА,,
250/35/10 г,Борщ из квашеной капусты с курицей и сметаной,50.00
25/250 г,Суп полевой с мясным набором,50.00
ВТОРЫЕ БЛЮДА,,
100 г,Жульен на сливках,90.00
75 г,Говядина отварная,120.00
50/250 г,"Жаркое ""по-домашнему"" со свининой",110.00
100 г,"Котлета ""Домашняя""",85.00
120 г,Куры жареные,95.00
75/50 г,"Печень ""по-строгановски""",75.00
80/40,"Рыба, жаренная под маринадом",155.00
100 г,Шашлык из филе кур,130.00
ГАРНИРЫ,,
150 г,"Капуста, тушенная с овощами",35.00
150 г,Картофельное пюре,35.00
150 г,Каша гречневая,20.00
150 г,Макароны отварные с маслом,15.00
СОУСЫ / ХЛЕБ,,
10 г,Горчица,5.00
50 г,"Кетчуп ""Хайнц""",20.00
50 г,"Соус ""Тар-тар""",20.00
50 г,Соус сметанный с луком,10.00
35 г,Хлеб пшеничный,3.00
35 г,Хлеб ржаной,2.00
10 г,Хрен столовый,5.00
НАПИТКИ,,
200 мл,Горячий шоколад,30.00
200 мл,Кофе 3 в 1,25.00
200 мл,Кофе б/р без сахара,25.00
200 мл/16 г,Кофе б/р с сахаром,25.00
7 г.,Лимон,5.00
200 мл,Напиток фруктовый,20.00
200 мл,Сок в ассортименте,35.00
200 мл,Чай без сахара,15.00
200 мл/16 г,Чай с сахаром,15.00
200 мл/7 г,Чай с  лимоном,15.00
200 мл/16/7 г,Чай с сахаром и лимоном,15.00
Готовые блюда не содержат ГМО.,,
